id,PV output,PeriodStart,hours
364,0,12-11-2018,4
360,0,12-11-2018,0
366,0,12-11-2018,6
367,0,12-11-2018,7
368,0,12-11-2018,8
369,327.5555556,12-11-2018,9
365,0,12-11-2018,5
398,324.7924528,13-11-2018,14
399,48.20277778,13-11-2018,15
400,0,13-11-2018,16
401,0,13-11-2018,17
403,0,13-11-2018,19
404,0,13-11-2018,20
405,0,13-11-2018,21
406,0,13-11-2018,22
397,762.7611111,13-11-2018,13
407,0,13-11-2018,23
402,0,13-11-2018,18
396,1059.761111,13-11-2018,12
392,0.438888889,13-11-2018,8
394,420.225,13-11-2018,10
393,196.1416667,13-11-2018,9
391,0,13-11-2018,7
390,0,13-11-2018,6
389,0,13-11-2018,5
388,0,13-11-2018,4
387,0,13-11-2018,3
386,0,13-11-2018,2
385,0,13-11-2018,1
384,0,13-11-2018,0
395,1123.183333,13-11-2018,11
425,0,14-11-2018,17
422,720.0388889,14-11-2018,14
423,34.12777778,14-11-2018,15
424,0,14-11-2018,16
426,0,14-11-2018,18
421,1079.877778,14-11-2018,13
428,0,14-11-2018,20
429,0,14-11-2018,21
430,0,14-11-2018,22
431,0,14-11-2018,23
427,0,14-11-2018,19
420,1922.127778,14-11-2018,12
408,0,14-11-2018,0
418,768.725,14-11-2018,10
409,0,14-11-2018,1
410,0,14-11-2018,2
411,0,14-11-2018,3
412,0,14-11-2018,4
419,1693.136111,14-11-2018,11
414,0,14-11-2018,6
415,0,14-11-2018,7
416,0,14-11-2018,8
417,143.0027778,14-11-2018,9
413,0,14-11-2018,5
446,292.875,15-11-2018,14
455,0,15-11-2018,23
454,0,15-11-2018,22
453,0,15-11-2018,21
452,0,15-11-2018,20
451,0,15-11-2018,19
450,0,15-11-2018,18
449,0,15-11-2018,17
448,0,15-11-2018,16
447,0,15-11-2018,15
445,710.6166667,15-11-2018,13
444,670.8027778,15-11-2018,12
432,0,15-11-2018,0
443,638.8305556,15-11-2018,11
433,0,15-11-2018,1
434,0,15-11-2018,2
436,0,15-11-2018,4
437,0,15-11-2018,5
435,0,15-11-2018,3
439,0,15-11-2018,7
440,0,15-11-2018,8
441,0,15-11-2018,9
442,409.173913,15-11-2018,10
438,0,15-11-2018,6
473,0,16-11-2018,17
470,139.4555556,16-11-2018,14
471,0,16-11-2018,15
472,0,16-11-2018,16
474,0,16-11-2018,18
469,652.1972222,16-11-2018,13
476,0,16-11-2018,20
477,0,16-11-2018,21
478,0,16-11-2018,22
479,0,16-11-2018,23
475,0,16-11-2018,19
468,644.1111111,16-11-2018,12
456,0,16-11-2018,0
466,107.075,16-11-2018,10
465,0,16-11-2018,9
464,0,16-11-2018,8
463,0,16-11-2018,7
462,0,16-11-2018,6
461,0,16-11-2018,5
460,0,16-11-2018,4
459,0,16-11-2018,3
458,0,16-11-2018,2
457,0,16-11-2018,1
467,106.9361111,16-11-2018,11
494,1554.602778,17-11-2018,14
495,997.85,17-11-2018,15
496,0,17-11-2018,16
497,0,17-11-2018,17
498,0,17-11-2018,18
503,0,17-11-2018,23
500,0,17-11-2018,20
501,0,17-11-2018,21
502,0,17-11-2018,22
493,2343.247222,17-11-2018,13
499,0,17-11-2018,19
492,1855.580556,17-11-2018,12
480,0,17-11-2018,0
490,936.3472222,17-11-2018,10
481,0,17-11-2018,1
482,0,17-11-2018,2
483,0,17-11-2018,3
484,0,17-11-2018,4
491,1208.327778,17-11-2018,11
486,0,17-11-2018,6
487,0,17-11-2018,7
488,0,17-11-2018,8
489,45.2,17-11-2018,9
485,0,17-11-2018,5
517,1101.733333,18-11-2018,13
526,0,18-11-2018,22
525,0,18-11-2018,21
524,0,18-11-2018,20
523,0,18-11-2018,19
522,0,18-11-2018,18
521,0,18-11-2018,17
520,6.888888889,18-11-2018,16
519,0,18-11-2018,15
518,438.3083333,18-11-2018,14
527,0,18-11-2018,23
516,1276.966667,18-11-2018,12
514,715.0722222,18-11-2018,10
515,1050.880556,18-11-2018,11
504,0,18-11-2018,0
505,0,18-11-2018,1
507,0,18-11-2018,3
508,0,18-11-2018,4
506,0,18-11-2018,2
510,0,18-11-2018,6
511,0,18-11-2018,7
512,0,18-11-2018,8
513,51.55833333,18-11-2018,9
509,0,18-11-2018,5
545,0,19-11-2018,17
542,642.9277778,19-11-2018,14
543,0,19-11-2018,15
544,0,19-11-2018,16
546,0,19-11-2018,18
541,1072.883333,19-11-2018,13
548,0,19-11-2018,20
549,0,19-11-2018,21
550,0,19-11-2018,22
551,0,19-11-2018,23
